sigma,alpha,norm
0.0,0.21,0.0
0.02,999.9900000000009,3.955228933562298e-145
0.04,999.9900000000009,2.426279462721883e-43
0.06,999.9900000000009,1.716041199199117e-24
0.08,999.9900000000009,6.7902086756742615e-18
0.1,999.9900000000009,7.682741079772626e-15
0.12,999.9900000000009,3.501705899450341e-13
0.14,999.9900000000009,3.4890078836136816e-12
0.16,976.5600000000009,1.2476369748082355e-15
0.18,771.6000000000007,4.140304114396322e-13
0.2,625.0000000000006,2.276665743557795e-18
0.22,516.5300000000005,5.297406073031656e-11
0.24,434.03000000000037,8.623686504465528e-10
0.26,369.82000000000033,4.762188804581741e-09
0.28,318.8800000000003,1.7894285870091794e-08
0.3,277.7800000000002,5.724980905044108e-08
0.32,244.1400000000002,1.0032654439424665e-07
0.34,216.2500000000002,3.796933655316115e-07
0.36,192.88000000000017,1.8109358372332184e-07
0.38,173.08000000000015,5.118751956283748e-07
0.4,156.15000000000015,2.3314318246571037e-06
0.42,141.55000000000013,5.991960786814772e-06
0.44,128.8500000000001,1.7015279053067023e-05
0.46,117.7100000000001,4.333931163359215e-05
0.48,107.8800000000001,9.756306905620695e-05
0.5,99.13000000000008,0.0001998417269301259
0.52,91.29000000000008,0.0003767269517308982
0.54,84.24000000000007,0.0006616263702381744
0.56,77.87000000000006,0.001092806320264679
0.58,72.07000000000006,0.0017110489117926155
0.6,66.80000000000005,0.0025571524643295644
0.62,61.980000000000054,0.0036690767625523583
0.64,57.580000000000055,0.005078864596464873
0.66,53.54000000000005,0.00681075979160454
0.68,49.840000000000046,0.008880150777529584
0.7000000000000001,46.44000000000004,0.011292357010622514
0.72,43.320000000000036,0.014043308522417083
0.74,40.460000000000036,0.017119731727759106
0.76,37.84000000000003,0.02050074581551504
0.78,35.42000000000003,0.024158945693365994
0.8,33.21000000000003,0.028062265102026085
0.8200000000000001,31.17000000000003,0.032175518038028705
0.84,29.300000000000026,0.0364617623018001
0.86,27.580000000000027,0.04088387914172788
0.88,26.000000000000025,0.04540560660714777
0.9,24.540000000000024,0.04999256519274822
0.92,23.20000000000002,0.0546128915788704
0.94,21.96000000000002,0.05923790924866139
0.96,20.820000000000018,0.06384226889623819
0.98,19.76000000000002,0.06840431878825608
1.0,18.790000000000017,0.07290580754251512
1.02,17.880000000000017,0.07733210747149753
1.04,17.040000000000017,0.08167194782734924
1.06,16.260000000000016,0.08591695183003867
1.08,15.540000000000015,0.09006130626080941
1.1,14.870000000000013,0.09410229486876998
1.12,14.240000000000013,0.09803836405208143
1.14,13.650000000000013,0.10187029421095081
1.16,13.100000000000012,0.10560025634278068
1.18,12.580000000000013,0.10923162196889298
1.2,12.100000000000012,0.11276775769118155
1.22,11.650000000000011,0.11621402080644945
1.24,11.220000000000011,0.11957527448628238
1.26,10.820000000000011,0.12285695899612181
1.28,10.44000000000001,0.12606446526919518
1.3,10.080000000000009,0.12920324250137286
1.32,9.740000000000009,0.13227863424760805
1.34,9.420000000000009,0.135295712095155
1.36,9.110000000000008,0.13825980987810035
1.38,8.830000000000009,0.1411747537049554
1.4,8.550000000000008,0.14404459157915545
1.42,8.290000000000008,0.14687448605061723
1.44,8.040000000000008,0.1496673932178505
1.46,7.800000000000007,0.1524268384507101
1.48,7.5700000000000065,0.15515634733391148
1.5,7.3600000000000065,0.1578573875282581
1.52,7.150000000000007,0.16053339332155578
1.54,6.9500000000000055,0.16318688982710877
1.56,6.760000000000006,0.16581944958886452
1.58,6.580000000000005,0.16843277412448818
1.6,6.4100000000000055,0.17102964613332092
1.62,6.2400000000000055,0.17360931164350196
1.64,6.080000000000005,0.17617516784871903
1.66,5.920000000000005,0.17872807271768826
1.68,5.780000000000005,0.18126868629772955
1.7,5.630000000000005,0.18379652868724025
1.72,5.500000000000004,0.18631587000724287
1.74,5.360000000000005,0.18882342821514772
1.76,5.240000000000005,0.19132388310569437
1.78,5.110000000000004,0.19381391634099107
1.8,4.990000000000005,0.1962979770888701
1.82,4.880000000000004,0.1987726381506077
1.84,4.770000000000004,0.20124176835016086
1.86,4.660000000000004,0.20370504174837228
1.88,4.560000000000004,0.20616103680375206
1.9,4.4600000000000035,0.20861197850751267
1.92,4.360000000000004,0.21105912923995904
1.94,4.270000000000004,0.21349816533364538
1.96,4.180000000000003,0.21593391004965085
1.98,4.090000000000003,0.21836637584220508
2.0,4.010000000000003,0.22079232024771067
