sigma,alpha,error
0.1,1.3887943864964077e-11,1.3750439470261462e-11
0.12,2.8851290572484057e-08,2.8565634230182234e-08
0.14,2.8875503621926062e-06,2.8589607546459065e-06
0.16,5.7390888737577954e-05,5.6822662114542236e-05
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.3399999999999999,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.4599999999999999,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.62,,
0.64,,
0.66,,
0.6799999999999999,,
0.7,,
0.72,,
0.74,,
0.76,,
0.78,,
0.8,,
0.82,,
0.84,,
0.86,,
0.88,,
0.9,,
0.92,,
0.94,,
0.96,,
0.98,,
1.0,,
1.02,,
1.04,,
1.06,,
1.08,,
1.1,,
1.12,,
1.14,,
1.16,,
1.1800000000000002,,
1.2000000000000002,,
1.2200000000000002,,
1.2400000000000002,,
1.26,,
1.28,,
1.3,,
1.32,,
1.34,,
1.36,,
1.38,,
1.4,,
1.4200000000000002,,
1.4400000000000002,,
1.4600000000000002,,
1.4800000000000002,,
1.5000000000000002,,
1.52,,
1.54,,
1.56,,
1.58,,
1.6,,
1.62,,
1.64,,
1.66,,
1.6800000000000002,,
1.7000000000000002,,
1.7200000000000002,,
1.7400000000000002,,
1.7600000000000002,,
1.78,,
1.8,,
1.82,,
1.84,,
1.86,,
1.88,,
1.9,,
1.92,,
1.94,,
1.96,,
1.98,,
2.0,,
2.02,,
2.04,,
2.06,,
2.08,,
2.1,,
